Ligne;Direction;Description;Séquence;Arrêt;Description;Distance Inter-Arrêts
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;32.0;PDJUST_2;Palais de Justice;369.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;38.0;CLAVER_2;Claverie;645.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;33.0;VERDQE_E;Pl. Verdun Quai E;294.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;42.0;SDBILL_2;Stade Hugot;282.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;35.0;218ERI_2;218ème RI;354.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;48.0;DASSAU_2;Dassault;253.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;36.0;HUTTON_E;Hutton;367.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;55.0;LSOLQO_O;LESCAR Soleil;168.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;43.0;CHAMPS_2;Champs;330.0
7;1.0;BIZANOS Beau Soleil > LESCAR Soleil;2.0;EALPHA_E;ESAT Alpha;238.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;46.0;ENTREP_2;Entrepreneurs;449.0
7;1.0;BIZANOS Beau Soleil > LESCAR Soleil;7.0;CDLARR_1;Castet de l'Array;376.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;47.0;DGENNE_2;De Gennes;280.0
7;1.0;BIZANOS Beau Soleil > LESCAR Soleil;9.0;REGINA_1;Régina;401.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;49.0;LAVOIS_2;Lavoisier;516.0
7;1.0;BIZANOS Beau Soleil > LESCAR Soleil;11.0;TRESPO_1;Trespoey;366.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;51.0;LEBON_2;Lebon;268.0
7;1.0;BIZANOS Beau Soleil > LESCAR Soleil;12.0;LSCRIC_1;Lycée St Cricq;400.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;52.0;CCLESC_2;Induspal;484.0
7;1.0;BIZANOS Beau Soleil > LESCAR Soleil;13.0;FAISAN_1;Faisans;429.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;53.0;LQLIQE_E;LESCAR Quartier Libre;238.0
7;1.0;BIZANOS Beau Soleil > LESCAR Soleil;14.0;BOSQQC_C;PAU Bosquet Quai C;389.0
7;1.0;BIZANOS Beau Soleil > LESCAR Soleil;1.0;BBSOLE_1;BIZANOS Beau Soleil;0.0
7;1.0;BIZANOS Beau Soleil > LESCAR Soleil;18.0;CIMETI_2;Cimetière;447.0
7;1.0;BIZANOS Beau Soleil > LESCAR Soleil;4.0;SBENOI_1;St Benoît;589.0
7;1.0;BIZANOS Beau Soleil > LESCAR Soleil;21.0;BOURBO_2;Bourbon;240.0
7;1.0;BIZANOS Beau Soleil > LESCAR Soleil;6.0;SAPINS_O;Sapins;389.0
7;1.0;BIZANOS Beau Soleil > LESCAR Soleil;22.0;CLAVER_2;Claverie;645.0
7;1.0;BIZANOS Beau Soleil > LESCAR Soleil;10.0;SURSUL_1;Ste Ursule;275.0
7;1.0;BIZANOS Beau Soleil > LESCAR Soleil;23.0;MARNIE_4;Marnières;373.0
7;1.0;BIZANOS Beau Soleil > LESCAR Soleil;15.0;LHMEDI_N;Les Halles Médiathèque;448.0
5;1.0;MAZERES-LEZONS L'Arriou > PAU Zénith;8.0;GAYET_1;Gayet;538.0
7;1.0;BIZANOS Beau Soleil > LESCAR Soleil;27.0;CHAMPS_2;Champs;330.0
7;1.0;BIZANOS Beau Soleil > LESCAR Soleil;16.0;PDJUST_2;Palais de Justice;369.0
5;1.0;MAZERES-LEZONS L'Arriou > PAU Zénith;10.0;LPDGEL_1;Lycée des Métiers de l'Habitat;318.0
7;1.0;BIZANOS Beau Soleil > LESCAR Soleil;34.0;MONTGO_2;Montgolfier;738.0
7;1.0;BIZANOS Beau Soleil > LESCAR Soleil;20.0;HUTTON_E;Hutton;367.0
5;1.0;MAZERES-LEZONS L'Arriou > PAU Zénith;11.0;PDCAPI_N;Pont du Capitaine;250.0
7;1.0;BIZANOS Beau Soleil > LESCAR Soleil;37.0;LQLIQE_E;LESCAR Quartier Libre;238.0
7;1.0;BIZANOS Beau Soleil > LESCAR Soleil;26.0;SDBILL_2;Stade Hugot;282.0
5;1.0;MAZERES-LEZONS L'Arriou > PAU Zénith;13.0;CDPRIN_E;Croix du Prince;124.0
7;2.0;LESCAR Soleil > ARTIGUELOUTAN Salle des Fêtes;1.0;LSOLQO_O;LESCAR Soleil;0.0
7;1.0;BIZANOS Beau Soleil > LESCAR Soleil;28.0;PLAINE_2;Plaine;289.0
5;1.0;MAZERES-LEZONS L'Arriou > PAU Zénith;15.0;ROUSSI_E;Roussille;161.0
7;2.0;LESCAR Soleil > ARTIGUELOUTAN Salle des Fêtes;5.0;MONTGO_1;Montgolfier;314.0
7;1.0;BIZANOS Beau Soleil > LESCAR Soleil;31.0;DGENNE_2;De Gennes;280.0
5;1.0;MAZERES-LEZONS L'Arriou > PAU Zénith;20.0;BOSQQB_B;Pl. d'Espagne - Bosquet Quai B;445.0
7;2.0;LESCAR Soleil > ARTIGUELOUTAN Salle des Fêtes;8.0;DGENNE_1;De Gennes;262.0
7;1.0;BIZANOS Beau Soleil > LESCAR Soleil;33.0;LAVOIS_2;Lavoisier;516.0
5;1.0;MAZERES-LEZONS L'Arriou > PAU Zénith;22.0;PDJUST_2;Palais de Justice;369.0
7;2.0;LESCAR Soleil > ARTIGUELOUTAN Salle des Fêtes;9.0;ENTREP_1;Entrepreneurs;226.0
7;1.0;BIZANOS Beau Soleil > LESCAR Soleil;35.0;LEBON_2;Lebon;268.0
5;1.0;MAZERES-LEZONS L'Arriou > PAU Zénith;28.0;SDOMIN_2;St Dominique;455.0
7;2.0;LESCAR Soleil > ARTIGUELOUTAN Salle des Fêtes;17.0;CLAVER_1;Claverie;339.0
7;2.0;LESCAR Soleil > ARTIGUELOUTAN Salle des Fêtes;2.0;LQLIQO_O;LESCAR Quartier Libre;371.0
5;1.0;MAZERES-LEZONS L'Arriou > PAU Zénith;31.0;TOUQUE_2;Touquet;246.0
7;2.0;LESCAR Soleil > ARTIGUELOUTAN Salle des Fêtes;19.0;HUTTON_O;Hutton;205.0
7;2.0;LESCAR Soleil > ARTIGUELOUTAN Salle des Fêtes;4.0;LEBON_1;Lebon;419.0
5;1.0;MAZERES-LEZONS L'Arriou > PAU Zénith;35.0;COUETT_2;Couettes;185.0
7;2.0;LESCAR Soleil > ARTIGUELOUTAN Salle des Fêtes;23.0;PDJUST_1;Palais de Justice;224.0
7;2.0;LESCAR Soleil > ARTIGUELOUTAN Salle des Fêtes;6.0;LAVOIS_1;Lavoisier;659.0
5;1.0;MAZERES-LEZONS L'Arriou > PAU Zénith;36.0;LAPERR_2;Laperrine;237.0
7;2.0;LESCAR Soleil > ARTIGUELOUTAN Salle des Fêtes;24.0;GUICHE_1;Guichenné;349.0
7;2.0;LESCAR Soleil > ARTIGUELOUTAN Salle des Fêtes;7.0;DASSAU_1;Dassault;644.0
5;1.0;MAZERES-LEZONS L'Arriou > PAU Zénith;41.0;JALAI_2;Jaï Alaï;237.0
7;2.0;LESCAR Soleil > ARTIGUELOUTAN Salle des Fêtes;25.0;BOSQQD_D;PAU Bosquet Quai D;372.0
7;2.0;LESCAR Soleil > ARTIGUELOUTAN Salle des Fêtes;14.0;MDBILL_E;Mairie de Billère;336.0
5;1.0;MAZERES-LEZONS L'Arriou > PAU Zénith;42.0;ZENI_1/2;PAU Zénith;571.0
